	880	1260	1640	2020	2400	2780	3000	3380	3760	4140	4520	5000	5700	6500	7200	8000
-40	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2
-30	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2
-20	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2
-10	4	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2
0	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	2	2	2	2	2
10	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2
20	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0
30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
60	-3.3	-3.4	-4.9	-4.9	-4.9	-4.9	-4.4	-4.4	-4.4	-4.4	-4.4	-9	-9	-9	-9	-9
70	-4.4	-4.9	-5.9	-5.9	-5.9	-5.9	-4.9	-4.9	-4.9	-4.9	-4.9	-2.4	-2.4	-2.4	-2.4	-2.4
80	-4.4	-4.9	-5.9	-5.9	-5.9	-5.9	-4.9	-4.9	-4.9	-4.9	-4.9	-2.9	-2.9	-2.9	-2.9	-2.9
90	-4.4	-4.9	-5.9	-5.9	-5.9	-5.9	-4.9	-4.9	-4.9	-4.9	-4.9	-3.9	-3.9	-3.9	-3.9	-3.9
100	-4.4	-4.9	-5.9	-5.9	-5.9	-5.9	-4.9	-4.9	-4.9	-4.9	-4.9	-3.9	-3.9	-3.9	-3.9	-3.9
110	-4.4	-4.9	-5.9	-5.9	-5.9	-5.9	-4.9	-4.9	-4.9	-4.9	-4.9	-3.9	-3.9	-3.9	-3.9	-3.9
