### this file was generated by rusEfi bom_builder on Sat Mar 08 18:55:50 CST 2014
### 292 components in 2047 lines of frankenstein.cmp
### 65 kinds of components in input file
### 15 entries in BOM dictionary bom_dictionary_digikey.csv
### 33 entries in ignore list
### no BOM record for SM0805_.1uF: [C471, C355, C356, C357]
### no BOM record for SM0805_100: [R601, R604, R605, R608, R609, R612, R200, R213, R223, R233, R243, R253, R263, R273, R283, R293, R303, R313, R323]
### no BOM record for SM0805_1000pF: [C101, C102, C108]
### no BOM record for SM0805_10uF: [C103]
### no BOM record for SM0805_120: [R473]
### no BOM record for SM0805_1M: [R351]
### no BOM record for SM0805_1uF: [C105]
### no BOM record for SM0805_20K: [R117, R118]
### no BOM record for SM0805_4.7uF: [C472, C354, C358]
### no BOM record for SM0805_4700pF: [C351]
### no BOM record for SM0805_47pF: [C352, C353]
### no BOM record for SM0805_5k: [R102, R103, R104, R106, R107, R108, R109, R110, R111, R112]
### no BOM record for SOD-123_DIODE: [D13]
### no BOM record for sot23_DOUBLE_SCHOTTKY: [D210, D220, D230, D240, D250, D260, D270, D280, D290, D300, D310, D320]




1,670-1190-1-ND,mini USB socket
12,490-1754-1-ND,input RC filter 10000PF/0.01uF
9,399-11179-1-ND,op-amp power supply capacitor 0.1uF
2,P10.0KFCT-ND,current limiting 10k
15,P10.0KFCT-ND,current limiting 10k
24,P1.5KECT-ND,voltage divider
15,P1.0KACT-ND,1K resistor
4,P1.0KACT-ND,1K resistor
12,P20.0CCT-ND,20R driver current limiting
18,P2.7KECT-ND,pull-up for CLT
12,P499KFCT-ND,pull-down
1,296-11654-1-ND,CAN driver
12,497-11082-1-ND,12A low-side MOSFET
1,MAX9926UAEE+TCT-ND,VR chip
3,TC4427AVOA-ND,1.5A dual driver
3,497-4943-1-ND,quad op-amp
1,768-1007-1-ND,USB TTL chip
